CustomerID,CustomerName,Email,PhoneNumber,Address
1001,"John Doe","john.doe@example.com","555-1234","aa"
1002,"Jane Smith","jane.smith@example.com","555-5678","bb"
1003,"Alice Johnson","alice.johnson@example.com","555-9876","cc"
1004,"Bob Brown","bob.brown@example.com","555-4321","dd"
1005,"Charlie Davis","charlie.davis@example.com","555-8765","ee"
1006,"Diana White","diana.white@example.com","555-2345","ff"
1007,"Edward Green","edward.green@example.com","555-6789","gg"
1008,"Fiona Black","fiona.black@example.com","555-3456","hh"
1009,"George Gray","george.gray@example.com","555-7890","ii"
1010,"Hannah Blue","hannah.blue@example.com","555-1122","jj"
