CustomerID,CustomerName,Email,PhoneNumber,Address
CUST1000,Customer_0,customer0@example.com,555-1000,0 Maple Street
CUST1001,Customer_1,customer1@example.com,555-1001,1 Maple Street
CUST1002,Customer_2,customer2@example.com,555-1002,2 Maple Street
CUST1003,Customer_3,customer3@example.com,555-1003,3 Maple Street
CUST1004,Customer_4,customer4@example.com,555-1004,4 Maple Street
CUST1005,Customer_5,customer5@example.com,555-1005,5 Maple Street
CUST1006,Customer_6,customer6@example.com,555-1006,6 Maple Street
CUST1007,Customer_7,customer7@example.com,555-1007,7 Maple Street
CUST1008,Customer_8,customer8@example.com,555-1008,8 Maple Street
CUST1009,Customer_9,customer9@example.com,555-1009,9 Maple Street
CUST1010,Customer_10,customer10@example.com,555-1010,10 Maple Street
CUST1011,Customer_11,customer11@example.com,555-1011,11 Maple Street
CUST1012,Customer_12,customer12@example.com,555-1012,12 Maple Street
CUST1013,Customer_13,customer13@example.com,555-1013,13 Maple Street
CUST1014,Customer_14,customer14@example.com,555-1014,14 Maple Street
CUST1015,Customer_15,customer15@example.com,555-1015,15 Maple Street
CUST1016,Customer_16,customer16@example.com,555-1016,16 Maple Street
CUST1017,Customer_17,customer17@example.com,555-1017,17 Maple Street
CUST1018,Customer_18,customer18@example.com,555-1018,18 Maple Street
CUST1019,Customer_19,customer19@example.com,555-1019,19 Maple Street
CUST1020,Customer_20,customer20@example.com,555-1020,20 Maple Street
CUST1021,Customer_21,customer21@example.com,555-1021,21 Maple Street
CUST1022,Customer_22,customer22@example.com,555-1022,22 Maple Street
CUST1023,Customer_23,customer23@example.com,555-1023,23 Maple Street
CUST1024,Customer_24,customer24@example.com,555-1024,24 Maple Street
CUST1025,Customer_25,customer25@example.com,555-1025,25 Maple Street
CUST1026,Customer_26,customer26@example.com,555-1026,26 Maple Street
CUST1027,Customer_27,customer27@example.com,555-1027,27 Maple Street
CUST1028,Customer_28,customer28@example.com,555-1028,28 Maple Street
CUST1029,Customer_29,customer29@example.com,555-1029,29 Maple Street
CUST1030,Customer_30,customer30@example.com,555-1030,30 Maple Street
CUST1031,Customer_31,customer31@example.com,555-1031,31 Maple Street
CUST1032,Customer_32,customer32@example.com,555-1032,32 Maple Street
CUST1033,Customer_33,customer33@example.com,555-1033,33 Maple Street
CUST1034,Customer_34,customer34@example.com,555-1034,34 Maple Street
CUST1035,Customer_35,customer35@example.com,555-1035,35 Maple Street
CUST1036,Customer_36,customer36@example.com,555-1036,36 Maple Street
CUST1037,Customer_37,customer37@example.com,555-1037,37 Maple Street
